,rooms,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,Localidades
185,2.0,1.0,1.0,41.0,41.0,61000.0,3,17
186,2.0,1.0,1.0,50.0,41.0,109900.0,3,55
193,2.0,1.0,1.0,47.0,40.0,109000.0,0,25
198,2.0,1.0,1.0,47.0,40.0,109000.0,0,2
199,2.0,1.0,1.0,83.0,42.0,142000.0,0,13
202,2.0,1.0,1.0,31.0,30.0,115000.0,0,26
203,2.0,1.0,1.0,45.0,44.0,255000.0,0,26
204,2.0,1.0,1.0,52.0,49.0,200000.0,0,26
205,2.0,1.0,1.0,80.0,59.0,296000.0,0,26
209,2.0,1.0,1.0,66.0,41.0,138000.0,0,6
210,2.0,1.0,1.0,42.0,42.0,140000.0,0,6
211,1.0,1.0,1.0,38.0,34.0,70000.0,0,15
223,2.0,1.0,1.0,41.0,41.0,74000.0,0,45
224,2.0,1.0,1.0,65.0,42.0,163900.0,0,55
225,2.0,1.0,1.0,87.0,44.0,135000.0,0,55
227,1.0,1.0,1.0,36.0,32.0,89000.0,0,50
232,3.0,2.0,1.0,62.0,62.0,185000.0,3,35
239,4.0,2.0,2.0,90.0,90.0,158000.0,1,18
243,3.0,2.0,1.0,85.0,78.0,135000.0,0,8
247,3.0,2.0,1.0,49.0,49.0,73500.0,0,17
248,3.0,2.0,1.0,84.0,74.0,294455.0,0,24
249,4.0,2.0,1.0,78.0,78.0,190000.0,0,2
250,3.0,2.0,2.0,75.0,69.0,349000.0,0,26
251,3.0,2.0,2.0,74.0,63.0,340000.0,0,26
252,3.0,2.0,2.0,87.0,84.0,348000.0,0,26
253,3.0,2.0,2.0,82.0,82.0,400000.0,0,26
254,3.0,2.0,2.0,87.0,84.0,348000.0,0,26
255,3.0,2.0,2.0,74.0,63.0,300000.0,0,26
259,3.0,2.0,2.0,96.0,90.0,210000.0,0,4
260,3.0,2.0,2.0,90.0,70.0,275000.0,0,6
262,3.0,2.0,3.0,112.0,100.0,410000.0,0,6
263,3.0,2.0,1.0,75.0,75.0,178000.0,0,6
265,3.0,2.0,2.0,93.0,68.0,270000.0,0,35
266,3.0,2.0,1.0,89.0,70.0,192000.0,0,37
267,3.0,2.0,1.0,90.0,62.0,310000.0,0,14
270,3.0,2.0,2.0,85.0,85.0,245000.0,0,5
271,1.0,2.0,1.0,38.0,35.0,95000.0,0,44
272,3.0,2.0,1.0,110.0,93.0,235000.0,0,45
273,3.0,2.0,1.0,90.0,82.0,210000.0,0,56
275,4.0,3.0,2.0,77.0,75.0,135000.0,3,25
305,4.0,3.0,2.0,112.0,96.0,249000.0,0,17
306,3.0,3.0,2.0,121.0,91.0,280000.0,0,13
309,4.0,3.0,1.0,98.0,98.0,198000.0,0,26
315,4.0,3.0,2.0,117.0,110.0,350000.0,0,6
316,4.0,3.0,3.0,140.0,126.0,415000.0,0,35
317,4.0,3.0,2.0,153.0,136.0,250000.0,0,9
318,4.0,3.0,2.0,111.0,104.0,299000.0,0,14
342,5.0,4.0,2.0,111.0,104.0,299000.0,0,14
452,1.0,1.0,1.0,75.0,48.0,262395.0,0,26
474,1.0,1.0,1.0,27.0,27.0,65000.0,0,39
475,1.0,1.0,1.0,33.0,31.0,86500.0,0,44
496,2.0,1.0,1.0,45.0,45.0,69900.0,0,17
498,2.0,1.0,1.0,72.0,48.0,216450.0,0,26
499,2.0,1.0,1.0,55.0,48.0,170918.0,0,26
500,2.0,1.0,1.0,55.0,48.0,142740.0,0,26
501,2.0,1.0,1.0,55.0,48.0,172017.0,0,26
502,2.0,1.0,1.0,55.0,48.0,137250.0,0,26
516,2.0,1.0,1.0,44.0,42.0,170000.0,0,35
517,2.0,1.0,1.0,60.0,47.0,99000.0,0,9
575,3.0,2.0,1.0,64.0,64.0,130000.0,0,36
577,3.0,2.0,1.0,51.0,50.0,127000.0,0,26
585,3.0,2.0,1.0,57.0,54.0,139000.0,0,18
587,3.0,2.0,1.0,56.0,55.0,84900.0,0,3
588,3.0,2.0,1.0,156.0,63.0,190000.0,0,9
589,3.0,2.0,1.0,122.0,59.0,179000.0,0,9
592,3.0,2.0,1.0,77.0,67.0,150000.0,0,23
594,3.0,2.0,1.0,62.0,60.0,129000.0,0,44
619,3.0,2.0,1.0,64.0,52.0,139000.0,0,46
621,4.0,2.0,1.0,59.0,51.0,143500.0,0,26
655,3.0,2.0,2.0,74.0,64.0,155000.0,3,26
666,3.0,2.0,2.0,70.0,70.0,170000.0,0,55
680,3.0,2.0,2.0,73.0,63.0,179000.0,0,29
687,4.0,3.0,2.0,114.0,108.0,385000.0,0,26
688,4.0,3.0,2.0,131.0,118.0,469000.0,0,35
689,4.0,3.0,2.0,111.0,85.0,280000.0,0,9
722,4.0,3.0,3.0,131.0,118.0,240000.0,0,9
941,1.0,1.0,1.0,32.0,30.0,149000.0,0,26
966,2.0,1.0,1.0,36.0,33.0,65000.0,0,8
972,2.0,1.0,1.0,40.0,38.0,75000.0,0,17
973,2.0,1.0,1.0,43.0,41.0,110000.0,0,17
976,2.0,1.0,1.0,29.0,29.0,75000.0,0,24
978,2.0,1.0,1.0,48.0,48.0,275000.0,0,24
981,2.0,1.0,1.0,48.0,41.0,92592.0,0,2
982,2.0,1.0,1.0,54.0,47.0,114584.0,0,2
983,2.0,1.0,1.0,62.0,55.0,105740.0,0,2
984,2.0,1.0,1.0,62.0,55.0,113328.0,0,2
985,2.0,1.0,1.0,64.0,55.0,134590.0,0,2
986,2.0,1.0,1.0,54.0,47.0,110148.0,0,2
987,2.0,1.0,1.0,64.0,55.0,140033.0,0,2
988,2.0,1.0,1.0,47.0,41.0,99073.0,0,2
989,2.0,1.0,1.0,58.0,49.0,119513.0,0,2
